DOI,Link
../../cs.AI/2023/2301.13869v2/2301.13869v2.pdf,https://github.com/fastai/imagenette
../../cs.AI/2023/2309.12579v1/2309.12579v1.pdf,
../../cs.AI/2023/2302.11165v2/2302.11165v2.pdf,https://github.com/SonglinZhai/DNG
../../cs.AI/2023/2307.09042v2/2307.09042v2.pdf,
../../cs.AI/2023/2309.08978v1/2309.08978v1.pdf,
../../cs.AI/2023/2301.05608v1/2301.05608v1.pdf,
../../cs.AI/2023/2303.14332v1/2303.14332v1.pdf,https://github.com/YODA-Lab/Simple-Incentives-For-Ridesharing
../../cs.AI/2023/2301.12820v1/2301.12820v1.pdf,
../../cs.AI/2023/2307.13552v2/2307.13552v2.pdf,https://github.com/forestagostinelli/DeepCubeA
../../cs.AI/2023/2304.11411v2/2304.11411v2.pdf,https://github.com/Arthur-Heng/Spoiler-Detection
../../cs.AI/2023/2304.00004v1/2304.00004v1.pdf,
../../cs.AI/2023/2310.07589v1/2310.07589v1.pdf,https://github.com/for-ai/goodtriever
../../cs.AI/2023/2310.02167v1/2310.02167v1.pdf,
../../cs.AI/2023/2306.04274v1/2306.04274v1.pdf,https://github.com/filecoin-project/bacalhau
../../cs.AI/2023/2307.10458v1/2307.10458v1.pdf,
../../cs.AI/2023/2304.11513v1/2304.11513v1.pdf,https://github.com/yuehu9/DSAB-Detecting-Socially-Abnormal-Drving-Behaviors
../../cs.AI/2023/2307.10227v1/2307.10227v1.pdf,
../../cs.AI/2023/2308.16615v1/2308.16615v1.pdf,
../../cs.AI/2023/2308.12411v1/2308.12411v1.pdf,
../../cs.AI/2023/2304.01503v1/2304.01503v1.pdf,
../../cs.AI/2023/2308.05391v1/2308.05391v1.pdf,
../../cs.AI/2023/2304.14712v4/2304.14712v4.pdf,https://github.com/Wadaboa/3d-bpp
../../cs.AI/2023/2306.11434v1/2306.11434v1.pdf,
../../cs.AI/2023/2308.01597v1/2308.01597v1.pdf,
../../cs.AI/2023/2309.17288v2/2309.17288v2.pdf,https://github.com/Link-AGI/AutoAgents
../../cs.AI/2023/2303.15113v1/2303.15113v1.pdf,https://github.com/semanticsystems/swemls-toolkit
../../cs.AI/2023/2305.11537v1/2305.11537v1.pdf,
../../cs.AI/2023/2306.02488v1/2306.02488v1.pdf,
../../cs.AI/2023/2306.04410v1/2306.04410v1.pdf,
../../cs.AI/2023/2302.01542v1/2302.01542v1.pdf,
../../cs.AI/2023/2307.12289v1/2307.12289v1.pdf,
../../cs.AI/2023/2305.09247v1/2305.09247v1.pdf,
../../cs.AI/2023/2308.04265v1/2308.04265v1.pdf,https://github.com/notAI-tech/NudeNet
../../cs.AI/2023/2310.05751v1/2310.05751v1.pdf,
../../cs.AI/2023/2302.09891v2/2302.09891v2.pdf,https://github.com/dhiyu/UPLLRS
../../cs.AI/2023/2304.12090v1/2304.12090v1.pdf,
../../cs.AI/2023/2301.08509v2/2301.08509v2.pdf,
../../cs.AI/2023/2303.06691v1/2303.06691v1.pdf,
../../cs.AI/2023/2302.09863v1/2302.09863v1.pdf,
../../cs.AI/2023/2301.13556v1/2301.13556v1.pdf,
../../cs.AI/2023/2301.10927v1/2301.10927v1.pdf,
../../cs.AI/2023/2308.16879v1/2308.16879v1.pdf,
../../cs.AI/2023/2306.15903v1/2306.15903v1.pdf,
../../cs.AI/2023/2301.12289v1/2301.12289v1.pdf,https://gitlab.com/lina.siltala/two
../../cs.AI/2023/2306.16958v2/2306.16958v2.pdf,
../../cs.AI/2023/2307.07909v3/2307.07909v3.pdf,https://github.com/yunyikristy/DualMind
../../cs.AI/2023/2304.10427v1/2304.10427v1.pdf,
../../cs.AI/2023/2308.00560v2/2308.00560v2.pdf,https://github.com/xybFight/NAR4TSP
../../cs.AI/2023/2310.02005v1/2310.02005v1.pdf,
../../cs.AI/2023/2307.07059v1/2307.07059v1.pdf,
../../cs.AI/2023/2302.08479v1/2302.08479v1.pdf,
../../cs.AI/2023/2310.02593v1/2310.02593v1.pdf,
../../cs.AI/2023/2305.08049v1/2305.08049v1.pdf,
../../cs.AI/2023/2308.13433v1/2308.13433v1.pdf,https://github.com/hsu-aut/2UML
../../cs.AI/2023/2302.00389v1/2302.00389v1.pdf,https://github.com/marslanm/multimodality-representation-learning
../../cs.AI/2023/2306.09538v1/2306.09538v1.pdf,
../../cs.AI/2023/2310.06176v1/2310.06176v1.pdf,
../../cs.AI/2023/2307.10574v1/2307.10574v1.pdf,
../../cs.AI/2023/2310.06541v1/2310.06541v1.pdf,
../../cs.AI/2023/2302.01786v1/2302.01786v1.pdf,
../../cs.AI/2023/2301.12382v2/2301.12382v2.pdf,
../../cs.AI/2023/2310.07354v1/2310.07354v1.pdf,
../../cs.AI/2023/2310.02360v1/2310.02360v1.pdf,http://github.com/Farama-Foundation/Gymnasium-Robotics
../../cs.AI/2023/2302.03625v1/2302.03625v1.pdf,
../../cs.AI/2023/2308.05012v1/2308.05012v1.pdf,
../../cs.AI/2023/2303.01618v2/2303.01618v2.pdf,https://github.com/BerenMillidge/DeepActiveInference
../../cs.AI/2023/2306.14356v1/2306.14356v1.pdf,
../../cs.AI/2023/2303.14894v1/2303.14894v1.pdf,https://github.com/solimul/yal-lin
../../cs.AI/2023/2304.14583v1/2304.14583v1.pdf,
../../cs.AI/2023/2306.14421v1/2306.14421v1.pdf,https://github.com/usail-hkust/Meta-Pec
../../cs.AI/2023/2303.13948v1/2303.13948v1.pdf,
../../cs.AI/2023/2305.15256v1/2305.15256v1.pdf,
../../cs.AI/2023/2308.15898v1/2308.15898v1.pdf,
../../cs.AI/2023/2302.06975v1/2302.06975v1.pdf,
../../cs.AI/2023/2302.14442v1/2302.14442v1.pdf,
../../cs.AI/2023/2305.07903v1/2305.07903v1.pdf,https://github.com/ontologyportal/sumo
../../cs.AI/2023/2306.04335v1/2306.04335v1.pdf,https://github.com/protegeproject/swrlapi
../../cs.AI/2023/2302.03180v1/2302.03180v1.pdf,https://github.com/marcotcr/lime
../../cs.AI/2023/2304.13998v1/2304.13998v1.pdf,https://github.com/thomasnguyen92/MIMIC-IV-ICD-data-processing
../../cs.AI/2023/2308.03176v1/2308.03176v1.pdf,
../../cs.AI/2023/2308.14550v1/2308.14550v1.pdf,https://github.com/AizazSharif/ReMAV
../../cs.AI/2023/2307.14893v1/2307.14893v1.pdf,https://github.com/m4lvin/HasCacBDD
../../cs.AI/2023/2310.07493v1/2310.07493v1.pdf,
../../cs.AI/2023/2306.00036v1/2306.00036v1.pdf,https://github.com/openai/gym
../../cs.AI/2023/2302.01096v1/2302.01096v1.pdf,
../../cs.AI/2023/2304.11949v1/2304.11949v1.pdf,
../../cs.AI/2023/2303.12336v2/2303.12336v2.pdf,https://github.com/HKU-Smart-Mobility-Lab/Transpotation_Simulator
../../cs.AI/2023/2302.11880v2/2302.11880v2.pdf,https://github.com/AwesomeDeepAI/Graph-based-money-laundering-detection
../../cs.AI/2023/2309.03638v1/2309.03638v1.pdf,
../../cs.AI/2023/2307.12133v1/2307.12133v1.pdf,https://github.com/mds1/path-planning
../../cs.AI/2023/2303.13494v2/2303.13494v2.pdf,
../../cs.AI/2023/2309.16960v1/2309.16960v1.pdf,
../../cs.AI/2023/2304.01543v1/2304.01543v1.pdf,https://github.com/Trusted-AI/AIF360
../../cs.AI/2023/2302.09646v2/2302.09646v2.pdf,
../../cs.AI/2023/2308.15926v1/2308.15926v1.pdf,
../../cs.AI/2023/2306.02055v3/2306.02055v3.pdf,
../../cs.AI/2023/2305.13823v2/2305.13823v2.pdf,https://github.com/xplanlab/xroute_env
../../cs.AI/2023/2302.04752v2/2302.04752v2.pdf,
../../cs.AI/2023/2302.00111v2/2302.00111v2.pdf,
../../cs.AI/2023/2307.03937v1/2307.03937v1.pdf,github.com/mxz12119/MPDRL
../../cs.AI/2023/2302.09067v1/2302.09067v1.pdf,
../../cs.AI/2023/2306.04287v1/2306.04287v1.pdf,
../../cs.AI/2023/2306.13723v1/2306.13723v1.pdf,
../../cs.AI/2023/2310.03780v1/2310.03780v1.pdf,
../../cs.AI/2023/2309.12113v1/2309.12113v1.pdf,
../../cs.AI/2023/2302.09934v1/2302.09934v1.pdf,
../../cs.AI/2023/2305.15771v2/2305.15771v2.pdf,
../../cs.AI/2023/2308.03527v3/2308.03527v3.pdf,https://github.com/iu-ai-research/ChatGPTsEmpatheticDialogues
../../cs.AI/2023/2309.10871v1/2309.10871v1.pdf,
../../cs.AI/2023/2306.13572v1/2306.13572v1.pdf,
../../cs.AI/2023/2301.09770v1/2301.09770v1.pdf,
../../cs.AI/2023/2307.02254v1/2307.02254v1.pdf,
../../cs.AI/2023/2302.10522v1/2302.10522v1.pdf,
../../cs.AI/2023/2302.03189v3/2302.03189v3.pdf,github.com/ViscousLemming/Technical-Appendices
../../cs.AI/2023/2310.06513v1/2310.06513v1.pdf,
../../cs.AI/2023/2307.12626v2/2307.12626v2.pdf,https://github.com/weijingxuan/COCO-MMR
../../cs.AI/2023/2305.10378v1/2305.10378v1.pdf,https://github.com/uoe-agents/pressureplate
../../cs.AI/2023/2309.10424v1/2309.10424v1.pdf,
../../cs.AI/2023/2304.11703v1/2304.11703v1.pdf,
../../cs.AI/2023/2305.11294v1/2305.11294v1.pdf,
../../cs.AI/2023/2310.01378v1/2310.01378v1.pdf,
../../cs.AI/2023/2310.08560v1/2310.08560v1.pdf,
../../cs.AI/2023/2308.14840v3/2308.14840v3.pdf,
../../cs.AI/2023/2308.03107v1/2308.03107v1.pdf,https://github.com/hwchase17/langchain
../../cs.AI/2023/2301.05433v1/2301.05433v1.pdf,https://github.com/alonjacovi/XAI-Scholar
../../cs.AI/2023/2308.13755v1/2308.13755v1.pdf,https://github.com/cruiseresearchgroup/i-align
../../cs.AI/2023/2304.09970v1/2304.09970v1.pdf,https://github.com/jeroenmiddelhuis/LearningResourceAllocation
../../cs.AI/2023/2308.13548v2/2308.13548v2.pdf,https://github.com/guidance-ai/guidance
../../cs.AI/2023/2307.09909v1/2307.09909v1.pdf,
../../cs.AI/2023/2310.06383v1/2310.06383v1.pdf,
../../cs.AI/2023/2306.13885v2/2306.13885v2.pdf,
../../cs.AI/2023/2303.04352v3/2303.04352v3.pdf,
../../cs.AI/2023/2304.04640v2/2304.04640v2.pdf,
../../cs.AI/2023/2302.11909v1/2302.11909v1.pdf,
../../cs.AI/2023/2310.06484v2/2310.06484v2.pdf,
../../cs.AI/2023/2304.11823v1/2304.11823v1.pdf,
../../cs.AI/2023/2309.11608v1/2309.11608v1.pdf,
../../cs.AI/2023/2305.11014v1/2305.11014v1.pdf,https://github.com/tomsilver/llm-genplan
